"Title"	"docking score"	"MMGBSA dG Bind"
"ZINC000095478942"	-10.890	-94.217
"ZINC000020573047"	-10.228	-94.214
"ZINC000408568537"	-11.544	-94.196
"ZINC000409148456"	-10.405	-94.149
"ZINC000019761842"	-10.621	-94.148
"ZINC000409346375"	-11.103	-94.127
"ZINC000003015941"	-10.766	-94.113
"ZINC000016890725"	-10.382	-94.069
"ZINC000227143597"	-11.199	-94.009
"ZINC000032071994"	-10.401	-93.945
"ZINC000068206341"	-10.736	-93.937
"ZINC000000947647"	-10.032	-93.926
"ZINC000032615625"	-10.983	-93.926
"ZINC000012707375"	-11.264	-93.894
"ZINC000041076244"	-10.384	-93.878
"ZINC000051330580"	-10.410	-93.845
"ZINC000409125219"	-10.756	-93.810
"ZINC000017218392"	-11.344	-93.795
"ZINC000012053286"	-10.148	-93.765
"ZINC000020130311"	-11.684	-93.728
"ZINC000227143451"	-10.813	-93.702
"ZINC000100555130"	-10.712	-93.690
"ZINC000015068505"	-10.541	-93.684
"ZINC000032974802"	-11.371	-93.678
"ZINC000020395463"	-10.740	-93.657
"ZINC000002861931"	-11.062	-93.644
"ZINC000019762574"	-10.515	-93.641
"ZINC000057487294"	-11.465	-93.637
"ZINC000009259872"	-10.313	-93.634
"ZINC000013893769"	-10.581	-93.627
"ZINC000019369782"	-10.391	-93.561
"ZINC000020356005"	-10.202	-93.543
"ZINC000170624520"	-11.047	-93.498
"ZINC000009336831"	-10.505	-93.488
"ZINC000012783040"	-10.575	-93.470
"ZINC000020768755"	-10.820	-93.412
"ZINC000409365266"	-11.028	-93.317
"ZINC001506417030"	-12.263	-93.303
"ZINC000257255596"	-10.928	-93.290
"ZINC000015068879"	-10.493	-93.225
"ZINC000023358146"	-10.322	-93.213
"ZINC000334163087"	-11.066	-93.185
"ZINC000019972759"	-11.783	-93.154
"ZINC000000727441"	-11.195	-93.150
"ZINC000098211492"	-11.709	-93.142
"ZINC000409139521"	-10.800	-93.121
"ZINC000016742441"	-10.916	-93.086
"ZINC000010386375"	-10.671	-93.064
"ZINC000013624175"	-10.828	-93.048
"ZINC000004010324"	-10.347	-93.022
"ZINC000020414208"	-10.418	-92.975
"ZINC000012364732"	-10.546	-92.964
"ZINC000014270217"	-10.625	-92.937
"ZINC000003348801"	-10.356	-92.893
"ZINC000032093852"	-10.656	-92.868
"ZINC000057426512"	-10.107	-92.820
"ZINC000005055082"	-10.610	-92.793
"ZINC000009307216"	-10.645	-92.755
"ZINC000032101906"	-10.722	-92.742
"ZINC000009860811"	-10.497	-92.733
"ZINC000224489147"	-11.108	-92.727
"ZINC000006719731"	-10.310	-92.712
"ZINC000006245211"	-10.133	-92.712
"ZINC000008721472"	-10.132	-92.702
"ZINC000223271106"	-10.212	-92.701
"ZINC000013593022"	-11.199	-92.693
"ZINC000004340744"	-10.034	-92.633
"ZINC000224362905"	-10.624	-92.619
"ZINC000017178577"	-10.269	-92.617
"ZINC000061717525"	-10.200	-92.613
"ZINC000009485457"	-10.088	-92.583
"ZINC000012376010"	-10.350	-92.529
"ZINC000041076258"	-10.395	-92.524
"ZINC000010433568"	-10.189	-92.502
"ZINC000059105954"	-10.828	-92.489
"ZINC000002116481"	-10.412	-92.437
"ZINC000409341575"	-11.207	-92.423
"ZINC000002380529"	-10.022	-92.405
"ZINC000049006633"	-11.113	-92.394
"ZINC000048115627"	-10.674	-92.305
"ZINC000001205927"	-10.418	-92.293
"ZINC000224490231"	-10.877	-92.272
"ZINC000009265175"	-10.505	-92.272
"ZINC000222630173"	-11.063	-92.248
"ZINC000013691866"	-10.558	-92.199
"ZINC000012385200"	-10.305	-92.148
"ZINC000048112423"	-10.575	-92.119
"ZINC000409224344"	-10.242	-92.113
"ZINC000022535815"	-10.559	-92.097
"ZINC000169754424"	-11.559	-92.070
"ZINC000008782578"	-10.616	-92.069
"ZINC000009458513"	-10.662	-92.059
"ZINC000022935573"	-11.190	-92.052
"ZINC000036615775"	-10.340	-92.033
"ZINC000008657325"	-10.279	-92.030
"ZINC000016489018"	-10.220	-92.012
"ZINC000409408305"	-10.004	-92.006
"ZINC000009309285"	-10.016	-92.005
"ZINC000035924585"	-10.138	-92.001
"ZINC000005732776"	-10.371	-91.986
"ZINC000020778922"	-10.776	-91.984
"ZINC000064950206"	-10.733	-91.967
"ZINC000000882861"	-10.413	-91.932
"ZINC000035911285"	-10.670	-91.915
"ZINC000227143507"	-10.163	-91.912
"ZINC000020463771"	-10.028	-91.898
"ZINC000009610787"	-10.202	-91.885
"ZINC000011055688"	-10.654	-91.864
"ZINC000102933027"	-10.939	-91.851
"ZINC000054313257"	-10.965	-91.842
"ZINC000008993494"	-10.574	-91.840
"ZINC000020309013"	-10.864	-91.828
"ZINC000007509929"	-10.142	-91.807
"ZINC000044167198"	-10.744	-91.793
"ZINC000006679429"	-10.691	-91.789
"ZINC000013505346"	-11.414	-91.775
"ZINC000055245030"	-10.639	-91.771
"ZINC000020308346"	-10.066	-91.759
"ZINC000057426727"	-10.708	-91.752
"ZINC000002703948"	-10.849	-91.746
"ZINC000227143623"	-10.640	-91.735
"ZINC000009971137"	-10.006	-91.716
"ZINC000009470658"	-10.401	-91.713
"ZINC000012414513"	-10.453	-91.704
"ZINC000015679539"	-10.189	-91.700
"ZINC000009335426"	-10.550	-91.694
"ZINC000006719525"	-10.768	-91.691
"ZINC000057493128"	-10.750	-91.664
"ZINC000263588662"	-11.399	-91.660
"ZINC000253470936"	-10.651	-91.659
"ZINC000040398404"	-10.762	-91.652
"ZINC000103155263"	-10.155	-91.632
"ZINC000038784201"	-11.137	-91.629
"ZINC000004905550"	-10.466	-91.618
"ZINC000008609171"	-10.436	-91.602
"ZINC000019757568"	-11.714	-91.599
"ZINC000019972760"	-10.900	-91.596
"ZINC000009268011"	-11.137	-91.586
"ZINC000096037946"	-10.600	-91.583
"ZINC000038489358"	-10.314	-91.576
"ZINC000408532857"	-10.958	-91.572
"ZINC000057427008"	-11.655	-91.534
"ZINC000009783398"	-10.100	-91.471
"ZINC000014093572"	-10.129	-91.459
"ZINC000009529004"	-11.880	-91.451
"ZINC000008884375"	-11.180	-91.444
"ZINC000408576919"	-10.745	-91.386
"ZINC000005032533"	-10.442	-91.374
"ZINC000020622826"	-10.424	-91.369
"ZINC000605694712"	-10.710	-91.363
"ZINC000009382957"	-10.505	-91.338
"ZINC000041083367"	-10.354	-91.312
"ZINC000012814284"	-11.067	-91.311
"ZINC000019554896"	-11.050	-91.299
"ZINC000006759895"	-11.543	-91.287
"ZINC000020530085"	-11.218	-91.279
"ZINC000408988600"	-10.388	-91.271
"ZINC000020851301"	-11.518	-91.247
"ZINC000014747813"	-10.709	-91.230
"ZINC000023078365"	-10.163	-91.197
"ZINC000013640201"	-11.147	-91.184
"ZINC000001410144"	-10.036	-91.178
"ZINC000002626622"	-10.143	-91.176
"ZINC000001128015"	-10.993	-91.175
"ZINC000032615712"	-10.749	-91.172
"ZINC000009694747"	-10.320	-91.163
"ZINC000013494496"	-11.491	-91.147
"ZINC000013742513"	-10.867	-91.146
"ZINC000032615617"	-10.642	-91.146
"ZINC000002440750"	-10.291	-91.122
"ZINC000009410641"	-10.673	-91.122
"ZINC000089991200"	-10.849	-91.085
"ZINC000017145728"	-10.189	-91.072
"ZINC000016523926"	-10.693	-91.035
"ZINC000006719959"	-10.268	-91.034
"ZINC000409139398"	-11.054	-91.032
"ZINC000009222608"	-10.288	-91.029
"ZINC000023126719"	-10.333	-91.022
"ZINC000013640162"	-11.127	-91.008
"ZINC000408987081"	-10.710	-91.002
"ZINC000038784202"	-11.770	-90.998
"ZINC000020590300"	-10.451	-90.988
"ZINC000002221977"	-10.562	-90.978
"ZINC000019933267"	-10.445	-90.971
"ZINC000006530966"	-10.828	-90.952
"ZINC000409096252"	-10.167	-90.913
"ZINC000023338558"	-11.004	-90.909
"ZINC000008597869"	-11.006	-90.900
"ZINC000222776274"	-10.492	-90.870
"ZINC000019757399"	-11.631	-90.867
"ZINC000006669729"	-10.618	-90.864
"ZINC000002639672"	-10.545	-90.856
"ZINC000102536400"	-10.895	-90.854
"ZINC000004667821"	-10.469	-90.852
"ZINC000223065447"	-10.658	-90.846
"ZINC000016791042"	-10.444	-90.839
"ZINC000002621693"	-10.496	-90.809
"ZINC000067319936"	-10.655	-90.801
"ZINC000306137341"	-10.343	-90.791
"ZINC000020548901"	-11.142	-90.776
"ZINC000017101735"	-10.094	-90.748
"ZINC000006764451"	-10.705	-90.713
"ZINC000000986167"	-10.750	-90.710
"ZINC000019578495"	-10.218	-90.678
"ZINC000409014274"	-10.210	-90.674
"ZINC000020848431"	-11.451	-90.671
"ZINC000001465778"	-10.537	-90.668
"ZINC000225376503"	-10.885	-90.664
"ZINC000004724968"	-10.015	-90.637
"ZINC000825148912"	-11.444	-90.633
"ZINC000004933001"	-10.178	-90.633
"ZINC000020461008"	-10.658	-90.626
"ZINC000023118793"	-10.193	-90.621
"ZINC000100566711"	-11.281	-90.621
"ZINC000032604411"	-10.316	-90.619
"ZINC000057426726"	-10.696	-90.593
"ZINC000000986168"	-10.815	-90.582
"ZINC000098211432"	-11.249	-90.577
"ZINC000072404145"	-10.581	-90.572
"ZINC000012414523"	-10.050	-90.562
"ZINC000102932962"	-10.861	-90.547
"ZINC000022610847"	-10.824	-90.535
"ZINC000044843443"	-10.206	-90.522
"ZINC000012442562"	-10.201	-90.509
"ZINC000022935467"	-10.797	-90.507
"ZINC000227143490"	-10.193	-90.470
"ZINC000032105069"	-10.648	-90.467
"ZINC000004272234"	-10.413	-90.447
"ZINC000019869036"	-10.973	-90.447
"ZINC000103155253"	-10.156	-90.437
"ZINC000033004308"	-10.472	-90.435
"ZINC000239415463"	-10.152	-90.432
"ZINC000065215632"	-10.849	-90.429
"ZINC000032622240"	-10.085	-90.419
"ZINC000033004330"	-10.290	-90.417
"ZINC000009671046"	-10.488	-90.411
"ZINC000227143427"	-10.362	-90.401
"ZINC000015823702"	-10.392	-90.399
"ZINC000001328425"	-11.113	-90.397
"ZINC000007001837"	-10.484	-90.391
"ZINC000006802323"	-10.392	-90.384
"ZINC000426719766"	-10.367	-90.374
"ZINC000065375303"	-10.116	-90.365
"ZINC000057486424"	-10.868	-90.357
"ZINC000015955875"	-10.434	-90.351
"ZINC000000784064"	-10.700	-90.348
"ZINC000016839002"	-10.917	-90.334
"ZINC000020625266"	-10.370	-90.333
"ZINC000223612256"	-10.688	-90.327
"ZINC000059474503"	-10.236	-90.317
"ZINC000001324406"	-10.480	-90.312
"ZINC000021359854"	-11.026	-90.306
"ZINC000001165407"	-10.588	-90.303
"ZINC000013083155"	-10.833	-90.300
"ZINC000026787002"	-10.005	-90.298
"ZINC000044168193"	-10.788	-90.293
"ZINC000049002515"	-10.326	-90.291
"ZINC000033524872"	-10.798	-90.267
"ZINC000009410953"	-10.644	-90.264
"ZINC000019237518"	-10.169	-90.262
"ZINC000008834951"	-10.052	-90.254
"ZINC000022888464"	-10.808	-90.251
"ZINC000524732802"	-10.466	-90.244
"ZINC000003542810"	-10.482	-90.242
"ZINC000020138968"	-10.660	-90.238
"ZINC000057487539"	-10.712	-90.232
"ZINC000257217525"	-10.198	-90.231
"ZINC000005321944"	-10.147	-90.228
"ZINC000012263879"	-10.506	-90.223
"ZINC000024767329"	-10.088	-90.221
"ZINC000041108421"	-10.427	-90.220
"ZINC000024878456"	-11.491	-90.198
"ZINC000041084776"	-10.033	-90.195
"ZINC000041084771"	-10.747	-90.194
"ZINC000001122993"	-10.330	-90.192
"ZINC000257290628"	-10.469	-90.186
"ZINC000077177510"	-10.793	-90.157
"ZINC000014069160"	-10.842	-90.140
"ZINC000257267355"	-10.438	-90.129
"ZINC000408576186"	-10.119	-90.119
"ZINC000012247070"	-10.066	-90.114
