"Title"	"docking score"	"MMGBSA dG Bind"
"ZINC000096809894"	-10.915	-82.255
"ZINC000013083553"	-10.478	-82.197
"ZINC000019762175"	-10.033	-82.197
"ZINC000008954901"	-10.349	-82.195
"ZINC000100068868"	-10.619	-82.161
"ZINC000000613298"	-10.461	-82.126
"ZINC000096037958"	-11.485	-82.125
"ZINC000019560512"	-10.380	-82.124
"ZINC000023158278"	-10.265	-82.113
"ZINC000002442785"	-10.104	-82.089
"ZINC000004035031"	-10.465	-82.082
"ZINC000035509627"	-10.891	-82.052
"ZINC000001334749"	-10.364	-82.048
"ZINC000023157302"	-10.619	-82.039
"ZINC000823388030"	-10.861	-82.011
"ZINC000021171169"	-10.195	-81.998
"ZINC000002878895"	-11.404	-81.968
"ZINC000014672513"	-11.345	-81.952
"ZINC000020240598"	-10.318	-81.950
"ZINC000021640955"	-10.149	-81.942
"ZINC000012824991"	-10.723	-81.873
"ZINC000306124663"	-10.961	-81.851
"ZINC000020308598"	-10.328	-81.838
"ZINC000409365267"	-10.425	-81.834
"ZINC000022997873"	-10.130	-81.833
"ZINC000009309185"	-11.265	-81.791
"ZINC000020308603"	-10.441	-81.783
"ZINC000409346375"	-10.047	-81.754
"ZINC000227144025"	-10.039	-81.749
"ZINC000023157769"	-10.601	-81.745
"ZINC000023157429"	-11.273	-81.742
"ZINC000004933001"	-10.045	-81.733
"ZINC000000613447"	-10.726	-81.678
"ZINC000002224109"	-10.117	-81.674
"ZINC000032964226"	-10.577	-81.621
"ZINC000055107877"	-10.182	-81.617
"ZINC000409138245"	-10.226	-81.563
"ZINC000020848431"	-10.803	-81.544
"ZINC000058157692"	-11.120	-81.534
"ZINC000019798724"	-10.283	-81.524
"ZINC000021171815"	-10.742	-81.517
"ZINC000408532857"	-12.191	-81.510
"ZINC000408566091"	-10.082	-81.496
"ZINC000035311858"	-10.429	-81.455
"ZINC000015910831"	-10.902	-81.452
"ZINC000022627169"	-11.234	-81.428
"ZINC000017101735"	-10.673	-81.407
"ZINC000013691420"	-10.368	-81.372
"ZINC000257296383"	-10.142	-81.372
"ZINC000408526215"	-10.162	-81.351
"ZINC000000923494"	-10.561	-81.337
"ZINC000023156782"	-10.930	-81.307
"ZINC000022627229"	-11.234	-81.288
"ZINC000027753188"	-10.581	-81.267
"ZINC000022534051"	-10.941	-81.250
"ZINC000009263344"	-10.827	-81.243
"ZINC000067563295"	-10.051	-81.239
"ZINC000032973567"	-10.165	-81.239
"ZINC000006346770"	-10.278	-81.223
"ZINC000408571410"	-10.149	-81.197
"ZINC000009455304"	-10.687	-81.194
"ZINC000022854944"	-11.075	-81.173
"ZINC000020110880"	-10.791	-81.173
"ZINC000257270418"	-10.253	-81.153
"ZINC000017189618"	-10.354	-81.145
"ZINC000022854598"	-10.673	-81.131
"ZINC000227143038"	-10.006	-81.119
"ZINC000227144100"	-10.247	-81.108
"ZINC000408543795"	-10.529	-81.105
"ZINC000205797867"	-10.209	-81.101
"ZINC000222574254"	-10.315	-81.070
"ZINC000102932962"	-10.382	-81.045
"ZINC000023157403"	-10.877	-81.017
"ZINC000031035465"	-10.206	-81.005
"ZINC000102932681"	-10.555	-80.997
"ZINC000041085876"	-11.081	-80.974
"ZINC000019567579"	-10.421	-80.973
"ZINC000022627282"	-10.472	-80.969
"ZINC000023157406"	-11.284	-80.952
"ZINC000169754364"	-10.554	-80.939
"ZINC000014076102"	-10.165	-80.935
"ZINC000058084934"	-10.439	-80.922
"ZINC000013165245"	-10.044	-80.902
"ZINC000009206734"	-10.411	-80.888
"ZINC000257294847"	-10.386	-80.870
"ZINC000000035077"	-10.632	-80.864
"ZINC000023157790"	-11.297	-80.848
"ZINC000100267673"	-10.087	-80.843
"ZINC000005570845"	-10.087	-80.842
"ZINC000012896610"	-10.039	-80.826
"ZINC000023158282"	-10.476	-80.817
"ZINC000253400058"	-10.016	-80.779
"ZINC000016839002"	-11.227	-80.762
"ZINC000003007754"	-12.034	-80.760
"ZINC000023157666"	-11.258	-80.757
"ZINC000023157855"	-10.948	-80.756
"ZINC000000892412"	-10.661	-80.713
"ZINC000023157900"	-10.564	-80.708
"ZINC000024746958"	-10.786	-80.704
"ZINC000408545333"	-10.546	-80.699
"ZINC000257305482"	-10.624	-80.686
"ZINC000009664925"	-11.677	-80.674
"ZINC000001352171"	-10.437	-80.661
"ZINC000096155176"	-11.145	-80.651
"ZINC000004061216"	-10.361	-80.649
"ZINC000014532250"	-10.077	-80.648
"ZINC000095478987"	-10.123	-80.613
"ZINC000008625809"	-10.923	-80.577
"ZINC000001342677"	-10.470	-80.559
"ZINC000408932270"	-10.487	-80.544
"ZINC000222574614"	-10.328	-80.540
"ZINC000022626868"	-11.130	-80.501
"ZINC000033308018"	-10.127	-80.493
"ZINC000037385398"	-10.038	-80.481
"ZINC000010059100"	-10.197	-80.459
"ZINC000036044824"	-10.410	-80.454
"ZINC000059352726"	-10.778	-80.449
"ZINC000409011858"	-10.301	-80.446
"ZINC000013150688"	-10.821	-80.442
"ZINC000409209447"	-10.521	-80.439
"ZINC000009509611"	-10.087	-80.417
"ZINC000020070881"	-10.397	-80.413
"ZINC000001353537"	-10.586	-80.401
"ZINC000005345865"	-10.185	-80.395
"ZINC000001426031"	-10.172	-80.394
"ZINC000025145983"	-10.908	-80.383
"ZINC000072341312"	-10.400	-80.369
"ZINC000012421043"	-10.530	-80.304
"ZINC000224696198"	-10.095	-80.281
"ZINC000031841722"	-10.382	-80.278
"ZINC000003007753"	-10.355	-80.269
"ZINC000009445592"	-10.652	-80.268
"ZINC000409203844"	-10.606	-80.258
"ZINC000009119642"	-11.612	-80.247
"ZINC000010220405"	-10.133	-80.246
"ZINC000024774103"	-10.436	-80.240
"ZINC000001809686"	-10.231	-80.236
"ZINC000000613297"	-10.874	-80.233
"ZINC000022853862"	-10.475	-80.226
"ZINC000049400991"	-10.259	-80.222
"ZINC000057478599"	-10.416	-80.188
"ZINC000022909050"	-10.351	-80.161
"ZINC000102547025"	-10.458	-80.144
"ZINC000041076244"	-10.933	-80.133
"ZINC000009287109"	-10.910	-80.125
"ZINC000022627202"	-10.999	-80.116
"ZINC000023156806"	-10.782	-80.100
"ZINC000008955261"	-10.388	-80.064
"ZINC000009254855"	-10.111	-80.063
"ZINC000016839013"	-11.290	-80.053
"ZINC000037556606"	-10.118	-80.030
"ZINC000013039577"	-10.014	-80.029
"ZINC000014690028"	-10.470	-80.025
"ZINC000020308322"	-10.277	-80.025
"ZINC000014154214"	-10.446	-80.008
"ZINC000102698994"	-10.659	-80.005
"ZINC000585149701"	-10.581	-80.001
"ZINC000009288883"	-10.323	-79.989
"ZINC000009382957"	-11.225	-79.980
"ZINC000014058214"	-10.476	-79.968
"ZINC000012891118"	-10.564	-79.966
"ZINC000102878307"	-11.023	-79.963
"ZINC000009336613"	-10.404	-79.940
"ZINC000012462074"	-10.171	-79.927
"ZINC000022854746"	-10.218	-79.924
