"Title"	"docking score"	"MMGBSA dG Bind"
"ZINC000049546848"	-10.483	-77.990
"ZINC000409127869"	-10.569	-77.951
"ZINC000001926343"	-10.540	-77.866
"ZINC000067258126"	-10.628	-77.862
"ZINC000020138968"	-10.791	-77.846
"ZINC000072379151"	-10.375	-77.827
"ZINC000257233423"	-11.555	-77.796
"ZINC000017249007"	-10.354	-77.787
"ZINC000006256954"	-10.712	-77.767
"ZINC000008917354"	-10.177	-77.758
"ZINC000257309966"	-10.932	-77.721
"ZINC000000874199"	-10.413	-77.683
"ZINC000095356621"	-10.994	-77.624
"ZINC000017246638"	-10.101	-77.556
"ZINC000003031583"	-10.328	-77.531
"ZINC000008965650"	-11.118	-77.524
"ZINC000083236583"	-10.445	-77.522
"ZINC000004710695"	-10.200	-77.512
"ZINC000005345865"	-10.178	-77.507
"ZINC000012513670"	-10.320	-77.506
"ZINC000004141547"	-10.845	-77.498
"ZINC000021822443"	-10.193	-77.479
"ZINC000007739192"	-10.468	-77.472
"ZINC000002332324"	-10.591	-77.468
"ZINC001775969642"	-10.322	-77.459
"ZINC000009715088"	-10.450	-77.438
"ZINC000408604014"	-10.351	-77.436
"ZINC000023507674"	-10.530	-77.419
"ZINC000104822276"	-10.487	-77.381
"ZINC000022628035"	-10.708	-77.357
"ZINC000015225509"	-11.356	-77.314
"ZINC000072230084"	-10.374	-77.301
"ZINC000299817113"	-10.417	-77.291
"ZINC000328911215"	-10.542	-77.235
"ZINC000100662785"	-10.390	-77.191
"ZINC000100138400"	-10.791	-77.115
"ZINC000012589477"	-10.410	-77.093
"ZINC000006659210"	-10.800	-77.088
"ZINC000037342275"	-10.029	-77.063
"ZINC000524729656"	-10.133	-77.060
"ZINC000019928229"	-10.824	-77.058
"ZINC000001137498"	-10.675	-77.057
"ZINC000019754078"	-10.860	-77.005
"ZINC000055245030"	-11.500	-76.995
"ZINC000002046792"	-10.868	-76.966
"ZINC000005210067"	-11.018	-76.938
"ZINC000096024629"	-11.205	-76.930
"ZINC000221326155"	-10.334	-76.908
"ZINC000017177992"	-10.553	-76.869
"ZINC000009601613"	-10.002	-76.832
"ZINC000012714288"	-11.043	-76.822
"ZINC000001875082"	-10.249	-76.816
"ZINC000008782423"	-10.158	-76.815
"ZINC000000956883"	-10.261	-76.810
"ZINC000013165134"	-10.825	-76.788
"ZINC000013116906"	-11.248	-76.771
"ZINC000019117005"	-10.129	-76.766
"ZINC000165246504"	-10.356	-76.763
"ZINC000409222187"	-10.355	-76.703
"ZINC000002684819"	-11.022	-76.682
"ZINC000005867615"	-10.728	-76.678
"ZINC000409215143"	-11.173	-76.672
"ZINC000071280419"	-10.688	-76.670
"ZINC000170624792"	-10.417	-76.661
"ZINC000239235551"	-10.969	-76.601
"ZINC000005349103"	-10.522	-76.590
"ZINC000085878737"	-10.521	-76.543
"ZINC000071774437"	-11.713	-76.482
"ZINC001775970330"	-10.238	-76.443
"ZINC000013727779"	-11.443	-76.423
"ZINC000100839122"	-10.212	-76.417
"ZINC000004383852"	-10.486	-76.411
"ZINC000225281629"	-10.215	-76.400
"ZINC000409199969"	-11.439	-76.394
"ZINC000031978805"	-10.082	-76.375
"ZINC000057487252"	-10.993	-76.366
"ZINC000006173127"	-10.634	-76.356
"ZINC000035316621"	-10.817	-76.346
"ZINC000004293173"	-10.522	-76.262
"ZINC000205790094"	-10.645	-76.234
"ZINC000004384934"	-10.968	-76.217
"ZINC000004812004"	-10.861	-76.205
"ZINC000224127434"	-10.650	-76.200
"ZINC000408730691"	-10.762	-76.168
"ZINC000071767021"	-10.320	-76.151
"ZINC000013730932"	-10.097	-76.095
"ZINC000107732956"	-10.254	-76.095
"ZINC000009045578"	-10.229	-76.086
"ZINC000408700742"	-11.209	-76.076
"ZINC000004677172"	-10.855	-76.074
"ZINC000067216198"	-10.705	-76.064
"ZINC000100921520"	-10.011	-76.060
"ZINC000004290454"	-10.248	-76.045
"ZINC000000708813"	-10.299	-76.027
